City,FAA,IATA,ICAO,Airport,Role,Enplanements
Anchorage,MRI,MRI,PAMR,Merrill Field,P-N,"19,144"
Paducah,PAH,PAH,KPAH,Barkley Regional Airport,P-N,"20,266"
Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,"20,974"
Mammoth Lakes,MMH,MMH,KMMH,Mammoth Yosemite Airport,P-N [nb 1],"21,826"
Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,"21,896"
Longview,GGG,GGG,KGGG,East Texas Regional Airport,P-N,"22,480"
Williamsport,IPT,IPT,KIPT,Williamsport Regional Airport,P-N,"22,547"
Watertown,ART,ART,KART,Watertown International Airport,P-N,"22,785"
Anchorage,LHD,,PALH,Lake Hood Seaplane Base (also see Lake Hood Airstrip),P-N,"23,382"
Owensboro,OWB,OWB,KOWB,Owensboro-Daviess County Regional Airport,P-N,"23,537"
Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,"23,654"
Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport,P-N,"23,950"
Rhinelander,RHI,RHI,KRHI,Rhinelander–Oneida County Airport,P-N,"24,477"
Hancock,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,"25,439"
Pellston,PLN,PLN,KPLN,Pellston Regional Airport,P-N,"25,497"
Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,"25,510"
Cincinnati,LUK,LUK,KLUK,Cincinnati Municipal Lunken Airport,P-N,"25,706"
Butte,BTM,BTM,KBTM,Bert Mooney Airport,P-N,"25,890"
Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional),P-N,"26,025"
Beaumont,BPT,BPT,KBPT,Jack Brooks Regional Airport (was Southeast Texas Regional),P-N,"26,518"
Aberdeen,ABR,ABR,KABR,Aberdeen Regional Airport,P-N,"26,529"
Garden City,GCK,GCK,KGCK,Garden City Regional Airport,P-N,"26,825"
Waterloo,ALO,ALO,KALO,Waterloo Regional Airport,P-N,"27,069"
New Haven,HVN,HVN,KHVN,Tweed New Haven Regional Airport,P-N,"27,911"
Joplin,JLN,JLN,KJLN,Joplin Regional Airport,P-N,"27,930"
Gillette,GCC,GCC,KGCC,Gillette–Campbell County Airport,P-N,"28,383"
St. Augustine,SGJ,UST,KSGJ,Northeast Florida Regional Airport,P-N,"28,462"
Gunnison,GUC,GUC,KGUC,Gunnison-Crested Butte Regional Airport,P-N,"30,780"
Hilton Head,HXD,HHH,KHXD,Hilton Head Airport,P-N,"30,956"
Hyannis,HYA,HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field),P-N,"31,027"
Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen Airport),P-N,"31,055"
Binghamton,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field),P-N,"33,425"
Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,"33,565"
Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,"33,616"
Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,"34,226"
Pocatello,PIH,PIH,KPIH,Pocatello Regional Airport,P-N,"34,462"
Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,"34,979"
Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,"36,054"
Sioux City,SUX,SUX,KSUX,Sioux Gateway Airport (Col. Bud Day Field),P-N,"36,413"
King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,"36,717"
Dubuque,DBQ,DBQ,KDBQ,Dubuque Regional Airport,P-N,"37,954"
Twin Falls,TWF,TWF,KTWF,Magic Valley Regional Airport (Joslin Field),P-N,"38,869"
Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,"40,120"
Wichita Falls,SPS,SPS,KSPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,P-N,"40,165"
Valdosta,VLD,VLD,KVLD,Valdosta Regional Airport,P-N,"40,275"
Cody,COD,COD,KCOD,Yellowstone Regional Airport,P-N,"40,340"
Columbus,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,"40,823"
"Lanai City, Lanai",LNY,LNY,PHNY,Lanai Airport,P-N,"43,275"
Redding,RDD,RDD,KRDD,Redding Municipal Airport,P-N,"43,414"
Homer,HOM,HOM,PAHO,Homer Airport,P-N,"44,117"
Roswell,ROW,ROW,KROW,Roswell International Air Center,P-N,"44,378"
Columbus,CSG,CSG,KCSG,Columbus Metropolitan Airport,P-N,"44,813"
Barrow,BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,"45,300"
Florence,FLO,FLO,KFLO,Florence Regional Airport,P-N,"45,300"
Marquette,SAW,MQT,KSAW,Sawyer International Airport,P-N,"45,462"
Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport,P-N,"47,439"
Greenville,PGV,PGV,KPGV,Pitt-Greenville Airport,P-N,"47,457"
Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,"49,411"
Lawton,LAW,LAW,KLAW,Lawton–Fort Sill Regional Airport,P-N,"51,088"
Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,"51,205"
Tyler,TYR,TYR,KTYR,Tyler Pounds Regional Airport,P-N,"52,494"
Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,"53,576"
Youngstown,YNG,YNG,KYNG,Youngstown-Warren Regional Airport / Youngstown ARS,P-N,"53,633"
Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,"54,084"
Worcester,ORH,ORH,KORH,Worcester Regional Airport,P-N,"57,800"
Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport,P-N,"60,068"
San Angelo,SJT,SJT,KSJT,San Angelo Regional Airport (Mathis Field),P-N,"60,277"
Nome,OME,OME,PAOM,Nome Airport,P-N,"60,655"
"Pullman / Moscow, Idaho",PUW,PUW,KPUW,Pullman/Moscow Regional Airport,P-N,"61,833"
Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport,P-N,"63,761"
Waco,ACT,ACT,KACT,Waco Regional Airport,P-N,"64,356"
Salisbury,SBY,SBY,KSBY,Salisbury-Ocean City Wicomico Regional Airport,P-N,"64,393"
Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,"64,481"
Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,"64,578"
Columbia,COU,COU,KCOU,Columbia Regional Airport,P-N,"65,014"
Williston,XWA,XWA,KXWA,Williston Basin International Airport,P-N,"68,829"
Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,"68,879"
Arcata/Eureka,ACV,ACV,KACV,Arcata Airport,P-N,"69,732"
Yakima,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field),P-N,"70,993"
Santa Fe,SAF,SAF,KSAF,Santa Fe Regional Airport,P-N,"71,252"
Lewiston,LWS,LWS,KLWS,Lewiston-Nez Perce County Airport,P-N,"72,724"
Portsmouth,PSM,PSM,KPSM,Portsmouth International Airport at Pease,P-N,"73,247"
Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,"74,742"
Lynchburg,LYH,LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field),P-N,"75,465"
Sun Valley,SUN,SUN,KSUN,Friedman Memorial Airport,P-N,"77,729"
Provo,PVU,PVU,KPVU,Provo Municipal Airport,P-N,"78,451"
St. George,SGU,SGU,KSGU,St. George Regional Airport (opened 2011),P-N,"78,680"
College Station,CLL,CLL,KCLL,Easterwood Airport (Easterwood Field),P-N,"78,907"
Kodiak,ADQ,ADQ,PADQ,Kodiak Airport,P-N,"79,682"
Belleville,BLV,BLV,KBLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,"79,988"
Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,"83,404"
Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,"83,920"
Abilene,ABI,ABI,KABI,Abilene Regional Airport,P-N,"84,809"
Champaign,CMI,CMI,KCMI,University of Illinois - Willard Airport,P-N,"89,318"
Concord,JQF,USA,KJQF,Concord Regional Airport,P-N,"90,338"
Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,"92,485"
Toledo,TOL,TOL,KTOL,Toledo Express Airport,P-N,"92,522"
"Kaunakakai, Molokai",MKK,MKK,PHMK,Molokai Airport,P-N,"92,560"
Casper,CPR,CPR,KCPR,Casper/Natrona County International Airport,P-N,"92,805"
Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,"93,076"
Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport,P-N,"93,269"
Erie,ERI,ERI,KERI,Erie International Airport (Tom Ridge Field),P-N,"95,924"
Ithaca,ITH,ITH,KITH,Ithaca Tompkins Regional Airport,P-N,"97,212"
Huntington,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field),P-N,"98,489"
La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport,P-N,"99,651"
Bakersfield,BFL,BFL,KBFL,Meadows Field,P-N,"100,433"
Laredo,LRD,LRD,KLRD,Laredo International Airport,P-N,"101,115"
Rockford,RFD,RFD,KRFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,"101,790"
Monroe,MLU,MLU,KMLU,Monroe Regional Airport,P-N,"102,342"
Columbus,LCK,LCK,KLCK,Rickenbacker International Airport,P-N,"102,751"
Helena,HLN,HLN,KHLN,Helena Regional Airport,P-N,"103,239"
New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional),P-N,"106,110"
Bullhead City,IFP,IFP,KIFP,Laughlin/Bullhead International Airport,P-N,"109,334"
Rochester,RST,RST,KRST,Rochester International Airport,P-N,"112,864"
Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,"116,272"
Brownsville,BRO,BRO,KBRO,Brownsville/South Padre Island International Airport,P-N,"120,151"
Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,"122,469"
Duluth,DLH,DLH,KDLH,Duluth International Airport,P-N,"124,284"
Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,"124,632"
Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,"126,197"
Elmira,ELM,ELM,KELM,Elmira/Corning Regional Airport,P-N,"126,472"
Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,"127,881"
Peach Springs,1G4,GCW,,Grand Canyon West Airport,P-N,"128,739"
Alexandria,AEX,AEX,KAEX,Alexandria International Airport,P-N,"129,776"
Grand Forks,GFK,GFK,KGFK,Grand Forks International Airport,P-N,"132,557"
Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport,P-N,"139,398"
Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport,P-N,"142,605"
Idaho Falls,IDA,IDA,KIDA,Idaho Falls Regional Airport (Fanning Field),P-N,"146,213"
Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,"149,987"
Minot,MOT,MOT,KMOT,Minot International Airport,P-N,"150,634"
Latrobe,LBE,LBE,KLBE,Arnold Palmer Regional Airport,P-N,"151,704"
State College,UNV,SCE,KUNV,University Park Airport,P-N,"153,737"
Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"154,242"
Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,"155,791"
Killeen,GRK,GRK,KGRK,Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield,P-N,"157,161"
Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"161,863"
San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,"162,719"
Lincoln,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,"162,876"
Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,"163,840"
Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,"167,151"
Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,"173,210"
Great Falls,GTF,GTF,KGTF,Great Falls International Airport,P-N,"176,730"
Durango,DRO,DRO,KDRO,Durango-La Plata County Airport,P-N,"187,789"
Bloomington,BMI,BMI,KBMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,"188,490"
Monterey,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport),P-N,"192,136"
Newport News,PHF,PHF,KPHF,Newport News/Williamsburg International Airport (Patrick Henry Field),P-N,"199,421"
Evansville,EVV,EVV,KEVV,Evansville Regional Airport,P-N,"204,352"
Tri-Cities,TRI,TRI,KTRI,Tri-Cities Regional Airport (Tri-Cities Regional TN/VA),P-N,"204,926"
Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,"206,330"
Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport,P-N,"206,667"
Boulder City,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,"211,615"
Charleston,CRW,CRW,KCRW,Yeager Airport,P-N,"213,412"
Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,"218,319"
Melbourne,MLB,MLB,KMLB,Orlando Melbourne International Airport,P-N,"220,360"
Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark),P-N,"223,924"
Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field),P-N,"224,541"
Newburgh,SWF,SWF,KSWF,Stewart International Airport,P-N,"228,640"
Kalispell,GPI,FCA,KGPI,Glacier Park International Airport,P-N,"247,816"
Aspen,ASE,ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),P-N,"254,392"
Wilkes-Barre,AVP,AVP,KAVP,Wilkes-Barre/Scranton International Airport,P-N,"258,830"
Harlingen,HRL,HRL,KHRL,Valley International Airport,P-N,"263,760"
Bangor,BGR,BGR,KBGR,Bangor International Airport,P-N,"269,013"
Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,"270,395"
Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,"270,797"
Rapid City,RAP,RAP,KRAP,Rapid City Regional Airport,P-N,"272,537"
Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport,P-N,"273,980"
Trenton,TTN,TTN,KTTN,Trenton Mercer Airport,P-N,"278,436"
Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,"288,209"
Charlottesville,CHO,CHO,KCHO,Charlottesville–Albemarle Airport,P-N,"295,930"
Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport–Biloxi International Airport,P-S,"305,157"
Roanoke,ROA,ROA,KROA,Roanoke–Blacksburg Regional Airport (Woodrum Field),P-N,"305,212"
Redmond,RDM,RDM,KRDM,Redmond Municipal Airport (Roberts Field),P-N,"306,517"
Peoria,PIA,PIA,KPIA,General Wayne A. Downing Peoria International Airport,P-N,"307,189"
Green Bay,GRB,GRB,KGRB,Green Bay–Austin Straubel International Airport,P-N,"314,909"
Grand Canyon,GCN,GCN,KGCN,Grand Canyon National Park Airport,P-N,"319,206"
Corpus Christi,CRP,CRP,KCRP,Corpus Christi International Airport,P-N,"325,815"
Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-N,"329,751"
South Bend,SBN,SBN,KSBN,South Bend International Airport (was South Bend Regional),P-N,"329,957"
Amarillo,AMA,AMA,KAMA,Rick Husband Amarillo International Airport,P-N,"334,815"
Jackson Hole,JAC,JAC,KJAC,Jackson Hole Airport,P-N,"342,044"
Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,"342,495"
Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport,P-N,"345,404"
Appleton,ATW,ATW,KATW,Appleton International Airport,P-N,"348,026"
McAllen,MFE,MFE,KMFE,McAllen Miller International Airport,P-S,"355,224"
Fort Wayne,FWA,FWA,KFWA,Fort Wayne International Airport,P-N,"360,369"
Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,"364,200"
Moline,MLI,MLI,KMLI,Quad City International Airport,P-N,"364,393"
Pasco,PSC,PSC,KPSC,Tri-Cities Airport,P-N,"374,301"
Allentown,ABE,ABE,KABE,Lehigh Valley International Airport (was Allentown–Bethlehem–Easton International Airport),P-N,"376,769"
Key West,EYW,EYW,KEYW,Key West International Airport,P-S,"380,505"
Missoula,MSO,MSO,KMSO,Missoula International Airport,P-S,"381,582"
Flint,FNT,FNT,KFNT,Bishop International Airport,P-S,"398,508"
Medford,MFR,MFR,KMFR,Rogue Valley International-Medford Airport,P-N,"401,469"
Fargo,FAR,FAR,KFAR,Hector International Airport,P-S,"402,976"
Wilmington,ILM,ILM,KILM,Wilmington International Airport,P-N,"413,185"
Bellingham,BLI,BLI,KBLI,Bellingham International Airport,P-S,"415,285"
Asheville,AVL,AVL,KAVL,Asheville Regional Airport,P-N,"416,939"
Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,"420,442"
Chattanooga,CHA,CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field),P-N,"422,442"
Billings,BIL,BIL,KBIL,Billings Logan International Airport,P-S,"423,213"
Panama City Beach,ECP,ECP,KECP,Northwest Florida Beaches International Airport [nb 2],P-S,"434,302"
Fort Walton Beach,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,P-S,"440,002"
Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport,P-S,"448,093"
Springfield,SGF,SGF,KSGF,Springfield-Branson National Airport,P-N,"462,126"
Midland,MAF,MAF,KMAF,Midland International Airport,P-S,"471,490"
Eugene,EUG,EUG,KEUG,Eugene Airport (Mahlon Sweet Field),P-N,"483,224"
Jackson,JAN,JAN,KJAN,Jackson–Evers International Airport,P-S,"491,464"
Sioux Falls,FSD,FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field),P-S,"510,105"
Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,"527,801"
Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,"538,881"
Cedar Rapids,CID,CID,KCID,The Eastern Iowa Airport,P-S,"547,786"
Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field Airport),P-S,"553,245"
Columbia,CAE,CAE,KCAE,Columbia Metropolitan Airport,P-S,"553,658"
Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport,P-S,"558,482"
Atlantic City,ACY,ACY,KACY,Atlantic City International Airport,P-S,"589,091"
Sarasota,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport,P-S,"589,860"
Burlington,BTV,BTV,KBTV,Burlington International Airport,P-S,"593,311"
Harrisburg,MDT,MDT,KMDT,Harrisburg International Airport,P-S,"636,916"
Lexington,LEX,LEX,KLEX,Blue Grass Airport,P-S,"638,316"
"Hilo, Hawaii",ITO,ITO,PHTO,Hilo International Airport,P-S,"640,757"
Islip,ISP,ISP,KISP,Long Island MacArthur Airport,P-S,"648,593"
Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,"657,694"
Fayetteville,XNA,XNA,KXNA,Northwest Arkansas Regional Airport,P-S,"673,810"
Akron,CAK,CAK,KCAK,Akron-Canton Regional Airport,P-S,"685,553"
Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),P-S,"705,731"
White Plains,HPN,HPN,KHPN,Westchester County Airport,P-S,"759,334"
Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,"761,298"
Wichita,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (formerly Wichita Mid-Continent Airport),P-S,"781,944"
Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,"848,261"
Portland,PWM,PWM,KPWM,Portland International Jetport,P-S,"886,343"
Knoxville,TYS,TYS,KTYS,McGhee Tyson Airport,P-S,"887,103"
St. Petersburg,PIE,PIE,KPIE,St. Pete–Clearwater International Airport,P-S,"915,672"
Myrtle Beach,MYR,MYR,KMYR,Myrtle Beach International Airport,P-S,"944,849"
Little Rock,LIT,LIT,KLIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),P-S,"958,824"
Pensacola,PNS,PNS,KPNS,Pensacola International Airport,P-S,"986,766"
Greenville,GSP,GSP,KGSP,Greenville-Spartanburg International Airport (Roger Milliken Field),P-S,"991,276"
Manchester,MHT,MHT,KMHT,Manchester–Boston Regional Airport,P-S,"995,403"
Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport,P-S,"995,801"
Syracuse,SYR,SYR,KSYR,Syracuse Hancock International Airport,P-S,"1,013,149"
Dayton,DAY,DAY,KDAY,James M. Cox Dayton International Airport,P-S,"1,019,922"
Madison,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field),P-S,"1,043,185"
Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,"1,056,265"
Rochester,ROC,ROC,KROC,Greater Rochester International Airport,P-S,"1,205,774"
Des Moines,DSM,DSM,KDSM,Des Moines International Airport,P-S,"1,216,357"
Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,"1,304,467"
Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,"1,321,675"
Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,"1,334,979"
Tulsa,TUL,TUL,KTUL,Tulsa International Airport,P-S,"1,342,315"
Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,"1,386,357"
Albany,ALB,ALB,KALB,Albany International Airport,P-S,"1,393,666"
El Paso,ELP,ELP,KELP,El Paso International Airport,P-M,"1,414,376"
"Lihue, Kauai",LIH,LIH,PHLI,Lihue Airport,P-S,"1,458,940"
"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole,P-S,"1,569,602"
Spokane,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,"1,570,652"
Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,"1,594,594"
Norfolk,ORF,ORF,KORF,Norfolk International Airport,P-S,"1,602,631"
Louisville,SDF,SDF,KSDF,Louisville International Airport (Standiford Field),P-S,"1,631,494"
Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-S,"1,633,507"
Reno,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-S,"1,771,864"
Richmond,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,"1,777,648"
Oklahoma City,OKC,OKC,KOKC,Will Rogers World Airport,P-S,"1,796,473"
Providence,PVD,PVD,KPVD,Theodore Francis Green State Airport,P-S,"1,803,000"
Charleston,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-S,"1,811,695"
Memphis,MEM,MEM,KMEM,Memphis International Airport,P-S,"2,016,089"
Burbank,BUR,BUR,KBUR,Bob Hope Airport (Hollywood Burbank Airport),P-M,"2,077,892"
Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,"2,104,625"
Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,"2,127,387"
Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,"2,341,719"
Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-M,"2,348,512"
Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,"2,563,524"
Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,"2,729,129"
Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,"2,982,194"
West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,"3,100,624"
Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,"3,269,979"
"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,"3,352,813"
Milwaukee,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,"3,496,724"
Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,"3,567,864"
Cleveland,CLE,CLE,KCLE,Cleveland-Hopkins International Airport,P-M,"4,083,476"
